Name,Rank,Industry,Revenues,Year,Sector,Revenues_($M)
"Nordstrom, Inc.",299,General Merchandisers,"882,800",2008,,
ALLTEL Corporation,300,Telecommunications,"881,130",2008,,
"ArvinMeritor, Inc.",301,Motor Vehicles and Parts,"877,800",2008,,
"Smith International, Inc.",302,"Oil and Gas Equipment, Services","876,430",2008,,
Commercial Metals Company,303,Metals,"875,120",2008,,
"Hertz Global Holdings, Inc.",304,"Automotive Retailing, Services","868,560",2008,,
Monsanto Company,305,Chemicals,"860,700",2008,,
"CIT Group, Inc.",306,Diversified Financials,"860,500",2008,,
Fifth Third Bancorp,307,Commercial Banks,"849,400",2008,,
Jacobs Engineering Group Inc.,308,"Engineering, Construction","847,400",2008,,
"Assurant, Inc.",309,Insurance: Property and Casualty (Stock),"845,350",2008,,
Boston Scientific Corporation,310,Medical Products and Equipment,"835,700",2008,,
"Fortune Brands, Inc.",311,"Home Equipment, Furnishings","829,140",2008,,
The First American Corporation,312,Insurance: Property and Casualty (Stock),"819,560",2008,,
Virgin Media Inc.,313,Telecommunications,"815,250",2008,,
"Owens-Illinois, Inc.",314,"Packaging, Containers","813,410",2008,,
First Data Corporation,315,Financial Data Services,"805,140",2008,,
The Sherwin-Williams Company,316,Chemicals,"800,530",2008,,
Energy Future Holdings Corp.,317,Energy,"799,200",2008,,
Calpine Corporation,318,Energy,"797,000",2008,,
NiSource Inc.,319,Utilities: Gas and Electric,"794,150",2008,,
Campbell Soup Co.,320,Food Consumer Products,"788,300",2008,,
KeyCorp,321,Commercial Banks,"787,300",2008,,
Ashland Inc.,322,Chemicals,"783,400",2008,,
MGM MIRAGE,323,"Hotels, Casinos, Resorts","782,030",2008,,
Chesapeake Energy Corporation,324,"Mining, Crude-Oil Production","780,000",2008,,
"Crown Holdings, Inc.",325,"Packaging, Containers","772,700",2008,,
eBay Inc.,326,Internet Services and Retailing,"767,230",2008,,
Pilgrim's Pride Corporation,327,Food Production,"759,860",2008,,
"Mohawk Industries, Inc.",328,zMiscellaneous,"758,600",2008,,
Ameren Corporation,329,Utilities: Gas and Electric,"754,600",2008,,
"Community Health Systems, Inc.",330,Health Care: Medical Facilities,"754,520",2008,,
Dover Corporation,331,Industrial and Farm Equipment,"748,720",2008,,
"Gannett Co., Inc.",332,"Publishing, Printing","748,050",2008,,
"CarMax, Inc.",333,"Automotive Retailing, Services","746,570",2008,,
Smurfit-Stone Container Corporation,334,"Packaging, Containers","742,000",2008,,
V.F. Corporation,335,Apparel,"741,550",2008,,
Ball Corporation,336,"Packaging, Containers","738,970",2008,,
Eastman Chemical Company,337,Chemicals,"737,200",2008,,
Dillard's Inc.,349,Household and Personal Products,"703,750",2008,,
"Clear Channel Communications, Inc.",339,Entertainment,"736,350",2008,,
KB Home,340,Homebuilders,"732,840",2008,,
"C. H. Robinson Worldwide, Inc.",341,Transportation and Logistics,"731,620",2008,,
"Western Refining, Inc.",342,Petroleum Refining,"730,500",2008,,
"Enbridge Energy Partners, L.P.",343,Pipelines,"728,260",2008,,
"Targa Resources, Inc.",344,Pipelines,"726,970",2008,,
Reliance Steel & Aluminum Co.,345,Wholesalers: Diversified,"726,560",2008,,
PPL Corporation,346,Utilities: Gas and Electric,"724,500",2008,,
"Winn-Dixie Stores, Inc.",347,Food and Drug Stores,"722,530",2008,,
GameStop Corp.,348,Specialty Retailers,"709,400",2008,,
Synnex Corp.,350,Wholesalers: Electronics and Office Equipment,"700,410",2008,,
AK Steel Holding Corporation,351,Metals,"700,300",2008,,
American Family Ins. Group,352,Insurance: Property and Casualty (Stock),"696,940",2008,,
Yahoo! Inc.,353,Internet Services and Retailing,"696,930",2008,,
"Dole Food Company, Inc.",354,Food Consumer Products,"694,460",2008,,
Federal-Mogul Corporation,355,Motor Vehicles and Parts,"691,390",2008,,
MeadWestvaco Corporation,356,"Packaging, Containers","690,600",2008,,
"The Great Atlantic & Pacific Tea Company, Inc.",357,Food and Drug Stores,"685,030",2008,,
"Family Dollar Stores, Inc.",358,General Merchandisers,"683,430",2008,,
AGCO Corporation,359,Industrial and Farm Equipment,"682,810",2008,,
"Owens & Minor, Inc.",360,Wholesalers: Health Care,"680,050",2008,,
"Energy Transfer Equity, L.P.",361,Pipelines,"679,200",2008,,
"The McGraw-Hill Companies, Inc.",362,"Publishing, Printing","677,230",2008,,
"Autoliv, Inc.",363,Motor Vehicles and Parts,"676,900",2008,,
Global Partners LP,364,Energy,"675,780",2008,,
Quest Diagnostics Incorporated,365,Health Care: Pharmacy and Other Services,"670,490",2008,,
CMS Energy Corporation,366,Utilities: Gas and Electric,"669,900",2008,,
Celanese Corporation,367,Chemicals,"664,100",2008,,
"Bed Bath & Beyond, Inc.",368,Specialty Retailers,"661,740",2008,,
"Whole Foods Market, Inc.",369,Food and Drug Stores,"659,180",2008,,
IAC/INTERACTIVECORP,370,Internet Services and Retailing,"656,610",2008,,
"Ryder System, Inc.",371,"Trucking, Truck Leasing","656,600",2008,,
The Black & Decker Corporation,372,Industrial and Farm Equipment,"656,320",2008,,
"The Interpublic Group of Companies, Inc.",373,"Advertising, marketing","655,420",2008,,
Cablevision Systems Corporation,374,Telecommunications,"653,840",2008,,
Goodrich Corporation,375,Aerospace and Defense,"653,580",2008,,
"Aleris International, Inc.",376,Metals,"652,850",2008,,
"W.W. Grainger, Inc.",377,Wholesalers: Diversified,"641,800",2008,,
Newell Rubbermaid Inc.,378,"Home Equipment, Furnishings","641,090",2008,,
"Group 1 Automotive, Inc.",379,"Automotive Retailing, Services","639,300",2008,,
"Becton, Dickinson and Company",380,Medical Products and Equipment,"639,280",2008,,
Embarq Corporation,381,Telecommunications,"636,500",2008,,
Avery Dennison Corporation,382,Chemicals,"630,780",2008,,
Oshkosh Corporation,383,Motor Vehicles and Parts,"630,730",2008,,
Performance Food Group Company,384,Wholesalers: Food and Grocery,"630,490",2008,,
"Peter Kiewit Sons', Inc.",385,"Engineering, Construction","623,700",2008,,
"Omnicare, Inc.",386,Health Care: Pharmacy and Other Services,"622,000",2008,,
ProLogis,387,Real estate,"621,680",2008,,
Safeco Corporation,388,Insurance: Property and Casualty (Stock),"620,880",2008,,
"Franklin Resources, Inc.",389,Securities,"620,580",2008,,
Hormel Foods Corporation,390,Food Consumer Products,"619,300",2008,,
NCR Corporation,391,"Computers, Office Equipment","619,300",2008,,
Molson Coors Brewing Company,392,Beverages,"619,060",2008,,
Tenneco Inc.,393,Motor Vehicles and Parts,"618,400",2008,,
"AutoZone, Inc.",394,Specialty Retailers,"616,980",2008,,
TravelCenters of America LLC,395,Specialty Retailers,"616,620",2008,,
"Starwood Hotels & Resorts Worldwide, Inc.",396,"Hotels, Casinos, Resorts","615,300",2008,,
"Harley-Davidson, Inc.",397,Transportation Equipment,"614,300",2008,,
Thrivent Financial for Lutherans,398,"Insurance: Life, Health (Mutual)","613,260",2008,,
Pitney Bowes Inc.,399,"Computers, Office Equipment","612,980",2008,,
"Allied Waste Industries, Inc.",400,Waste Management,"611,810",2008,,
Stryker Corporation,401,Medical Products and Equipment,"610,790",2008,,
The Charles Schwab Corporation,402,Securities,"606,300",2008,,
"NRG Energy, Inc.",403,Energy,"603,900",2008,,
"CB Richard Ellis Group, Inc.",404,Real estate,"603,640",2008,,
"The Pantry, Inc.",405,Specialty Retailers,"601,510",2008,,
"Advanced Micro Devices, Inc.",406,Semiconductors and Other Electronic Components,"601,300",2008,,
"Emcor Group, Inc.",407,"Engineering, Construction","600,620",2008,,
"WESCO International, Inc.",408,Wholesalers: Diversified,"600,350",2008,,
"Charter Communications, Inc.",409,Telecommunications,"600,200",2008,,
"Henry Schein, Inc.",410,Wholesalers: Health Care,"600,130",2008,,
"Avis Budget Group, Inc.",411,"Automotive Retailing, Services","598,600",2008,,
"Ross Stores, Inc.",412,Specialty Retailers,"597,520",2008,,
"Mattel, Inc.",413,"Toys, Sporting Goods","597,010",2008,,
Realogy Corporation,414,Real estate,"596,700",2008,,
"Darden Restaurants, Inc.",415,Food Services,"592,500",2008,,
Atmos Energy Corporation,416,Utilities: Gas and Electric,"589,840",2008,,
Corning Inc.,417,Network and Other Communications Equipment,"586,000",2008,,
Anixter International Inc.,418,Wholesalers: Diversified,"585,290",2008,,
Northeast Utilities,419,Utilities: Gas and Electric,"582,350",2008,,
"Hexion Specialty Chemicals, Inc.",420,Chemicals,"581,000",2008,,
"Asbury Automotive Group, Inc.",421,"Automotive Retailing, Services","577,590",2008,,
The Mosaic Company,422,Chemicals,"577,370",2008,,
"Affiliated Computer Services, Inc.",423,Information Technology Services,"577,250",2008,,
Brunswick Corporation,424,Transportation Equipment,"577,090",2008,,
Marshall & Ilsley Corporation,425,Commercial Banks,"574,520",2008,,
"The Shaw Group, Inc.",426,"Engineering, Construction","572,370",2008,,
"Micron Technology, Inc.",427,Semiconductors and Other Electronic Components,"568,800",2008,,
"Kelly Services, Inc.",428,Temporary Help,"568,240",2008,,
Unisys Corporation,429,Information Technology Services,"565,250",2008,,
Newmont Mining Corporation,430,"Mining, Crude-Oil Production","564,500",2008,,
Owens Corning,431,"Building Materials, Glass","560,400",2008,,
Peabody Energy Corporation,432,"Mining, Crude-Oil Production","559,920",2008,,
W.R. Berkley Corporation,433,Insurance: Property and Casualty (Stock),"555,360",2008,,
Blockbuster Inc.,434,Specialty Retailers,"554,440",2008,,
"Fidelity National Financial, Inc.",435,Insurance: Property and Casualty (Stock),"552,400",2008,,
"XTO Energy, Inc.",436,"Mining, Crude-Oil Production","551,300",2008,,
UGI Corporation,437,Energy,"547,690",2008,,
Ecolab Inc.,438,Chemicals,"546,960",2008,,
Western Digital Corporation,439,Computer Peripherals,"546,800",2008,,
"Host Hotels & Resorts, Inc.",440,Real estate,"546,100",2008,,
Allegheny Technologies Inc.,441,Metals,"545,250",2008,,
"Foot Locker, Inc.",442,Specialty Retailers,"543,700",2008,,
"Agilent Technologies, Inc.",443,"Scientific,Photographic and Control Equipment","542,000",2008,,
Precision Castparts Corporation,444,Aerospace and Defense,"541,410",2008,,
"Boise Cascade Holdings, L.L.C.",445,Forest and Paper Products,"541,350",2008,,
Barnes & Noble Inc.,446,Specialty Retailers,"541,080",2008,,
Northern Trust Corporation,447,Commercial Banks,"539,510",2008,,
Wm. Wrigley Jr. Company,448,Food Consumer Products,"538,910",2008,,
URS Corporation,449,"Engineering, Construction","538,300",2008,,
Rockwell Automation Inc.,450,"Electronics, Electrical Equip.","534,460",2008,,
"BorgWarner, Inc.",451,Motor Vehicles and Parts,"532,860",2008,,
Pacific Life,452,"Insurance: Life, Health (stock)","532,500",2008,,
Longs Drug Stores Corporation,453,Food and Drug Stores,"529,790",2008,,
"DaVita, Inc.",454,Health Care: Medical Facilities,"526,420",2008,,
"Graybar Electric Company, Inc.",455,Wholesalers: Diversified,"525,830",2008,,
"Leggett & Platt, Incorporated",456,Furniture,"524,890",2008,,
The Timken Company,457,Industrial and Farm Equipment,"523,600",2008,,
"Expeditors International of Washington, Inc.",458,Transportation and Logistics,"523,520",2008,,
"Constellation Brands, Inc.",459,Beverages,"521,640",2008,,
USG Corporation,460,"Building Materials, Glass","520,200",2008,,
Symantec Corporation,461,Computer Software,"519,940",2008,,
Frontier Oil Corporation,462,Petroleum Refining,"518,870",2008,,
Energy East Corporation,463,Utilities: Gas and Electric,"517,810",2008,,
"NVR, Inc.",464,Homebuilders,"515,640",2008,,
Auto-Owners Insurance Group,465,Insurance: Property and Casualty (Mutual),"512,910",2008,,
SPX Corporation,466,"Electronics, Electrical Equip.","511,810",2008,,
Tribune Company,467,"Publishing, Printing","511,240",2008,,
Fiserv Inc.,468,Financial Data Services,"502,170",2008,,
"Sovereign Bancorp, Inc.",469,Savings Institutions,"501,070",2008,,
"Lexmark International, Inc.",470,Computer Peripherals,"497,390",2008,,
The Hershey Company,471,Food Consumer Products,"494,670",2008,,
"SunGard Data Systems, Inc.",472,Financial Data Services,"490,100",2008,,
The Western Union Company,473,Financial Data Services,"490,020",2008,,
The Clorox Company,474,Household and Personal Products,"484,700",2008,,
"BlackRock, Inc.",475,Securities,"484,470",2008,,
"Advance Auto Parts, Inc.",476,Specialty Retailers,"484,440",2008,,
"Insight Enterprises, Inc.",477,Wholesalers: Electronics and Office Equipment,"483,060",2008,,
"Telephone and Data Systems, Inc.",478,Telecommunications,"482,900",2008,,
"Liz Claiborne, Inc.",479,Apparel,"482,450",2008,,
Western & Southern Mutual Holding Company,480,"Insurance: Life, Health (Mutual)","481,070",2008,,
"Fidelity National Information Services, Inc.",481,Financial Data Services,"481,060",2008,,
BJ Services Company,482,"Oil and Gas Equipment, Services","480,240",2008,,
"Hovnanian Enterprises, Inc.",483,Homebuilders,"479,890",2008,,
Holly Corporation,484,Petroleum Refining,"479,170",2008,,
"Universal Health Services, Inc.",485,Health Care: Medical Facilities,"475,100",2008,,
El Paso Corporation,486,Pipelines,"474,900",2008,,
Spectra Energy Corp,487,Pipelines,"474,200",2008,,
Erie Insurance Group,488,Insurance: Property and Casualty (Stock),"473,650",2008,,
"PetSmart, Inc.",489,Specialty Retailers,"467,270",2008,,
Cameron International Corporation,490,"Oil and Gas Equipment, Services","466,640",2008,,
"Chiquita Brands International, Inc.",491,Food Production,"466,280",2008,,
Jarden Corporation,492,"Home Equipment, Furnishings","466,010",2008,,
"Big Lots, Inc.",493,Specialty Retailers,"465,630",2008,,
Sealed Air Corporation,494,"Packaging, Containers","465,120",2008,,
"Toll Brothers, Inc.",495,Homebuilders,"464,700",2008,,
United Stationers Inc.,496,Wholesalers: Electronics and Office Equipment,"464,640",2008,,
Robert Half International Inc.,497,Temporary Help,"464,570",2008,,
"FMC Technologies, Inc.",498,"Oil and Gas Equipment, Services","463,860",2008,,
Perini Corporation,499,"Engineering, Construction","462,840",2008,,
SCANA Corporation,500,Utilities: Gas and Electric,"462,100",2008,,
Exxon Mobil Corporation,1,Petroleum Refining,"44,285,100",2009,,
"Wal-Mart Stores, Inc.",2,General Merchandisers,"40,560,700",2009,,
Chevron Corporation,3,Petroleum Refining,"26,315,900",2009,,
ConocoPhillips,4,Petroleum Refining,"23,076,400",2009,,
General Electric Company,5,Diversified Financials,"18,320,700",2009,,
General Motors Corporation,6,Motor Vehicles and Parts,"14,897,900",2009,,
Ford Motor Company,7,Motor Vehicles and Parts,"14,627,700",2009,,
AT&T Inc.,8,Telecommunications,"12,402,800",2009,,
Hewlett-Packard Company,9,"Computers, Office Equipment","11,836,400",2009,,
Valero Energy Corporation,10,Petroleum Refining,"11,829,800",2009,,
Bank of America Corporation,11,Commercial Banks,"11,310,600",2009,,
"Citigroup, Inc.",12,Commercial Banks,"11,237,200",2009,,
Berkshire Hathaway Inc.,13,Insurance: Property and Casualty (Stock),"10,778,600",2009,,
International Business Machines Corporation,14,Information Technology Services,"10,363,000",2009,,
McKesson Corporation,15,Wholesalers: Health Care,"10,170,300",2009,,
J.P. Morgan Chase & Co.,16,Commercial Banks,"10,149,100",2009,,
Verizon Communications Inc.,17,Telecommunications,"9,735,400",2009,,
"Cardinal Health, Inc.",18,Wholesalers: Health Care,"9,109,140",2009,,
CVS Caremark Corporation,19,Food and Drug Stores,"8,747,190",2009,,
The Procter & Gamble Company,20,Household and Personal Products,"8,350,300",2009,,
UnitedHealth Group Incorporated,21,Health Care: Insurance and Managed Care,"8,118,600",2009,,
The Kroger Company,22,Food and Drug Stores,"7,600,000",2009,,
Marathon Oil Corporation,23,Petroleum Refining,"7,350,400",2009,,
Costco Wholesale Corporation,24,Specialty Retailers,"7,248,300",2009,,
"The Home Depot, Inc.",25,Specialty Retailers,"7,128,800",2009,,
AmerisourceBergen Corp.,26,Wholesalers: Health Care,"7,059,350",2009,,
Archer-Daniels-Midland Company,27,Food Production,"6,981,600",2009,,
Target Corporation,28,General Merchandisers,"6,494,800",2009,,
Johnson & Johnson,29,Pharmaceuticals,"6,374,700",2009,,
Morgan Stanley,30,Commercial Banks,"6,226,200",2009,,
State Farm Insurance Cos.,31,Insurance: Property and Casualty (Mutual),"6,134,340",2009,,
"WellPoint, Inc.",32,Health Care: Insurance and Managed Care,"6,125,110",2009,,
Dell Inc.,33,"Computers, Office Equipment","6,110,100",2009,,
The Boeing Company,34,Aerospace and Defense,"6,090,900",2009,,
Microsoft Corporation,35,Computer Software,"6,042,000",2009,,
Walgreen Co.,36,Food and Drug Stores,"5,903,400",2009,,
United Technologies Corporation,37,Aerospace and Defense,"5,868,100",2009,,
The Dow Chemical Company,38,Chemicals,"5,751,400",2009,,
"MetLife, Inc.",39,"Insurance: Life, Health (stock)","5,508,500",2009,,
"The Goldman Sachs Group, Inc.",40,Commercial Banks,"5,357,900",2009,,
Wells Fargo & Company,41,Commercial Banks,"5,165,200",2009,,
"Sunoco, Inc.",41,Petroleum Refining,"5,165,200",2009,,
"United Parcel Service, Inc.",43,"Mail, Package, and Freight Delivery","5,148,600",2009,,
Caterpillar Inc.,44,Construction and Farm Machinery,"5,132,400",2009,,
"Medco Health Solutions, Inc.",45,Health Care: Pharmacy and Other Services,"5,125,800",2009,,
Pfizer Inc.,46,Pharmaceuticals,"4,829,600",2009,,
"Lowe's Companies, Inc.",47,Specialty Retailers,"4,823,000",2009,,
Time Warner Inc.,48,Entertainment,"4,698,400",2009,,
Sears Holdings Corporation,49,General Merchandisers,"4,677,000",2009,,
Safeway Inc.,50,Food and Drug Stores,"4,410,400",2009,,
Supervalu Inc.,51,Food and Drug Stores,"4,404,800",2009,,
"PepsiCo, Inc.",52,Food Consumer Products,"4,325,100",2009,,
Kraft Foods Inc.,53,Food Consumer Products,"4,286,700",2009,,
Lockheed Martin Corporation,54,Aerospace and Defense,"4,273,100",2009,,
Hess Corporation,55,Petroleum Refining,"4,109,400",2009,,
Best Buy Co. Inc.,56,Specialty Retailers,"4,002,300",2009,,
"Cisco Systems, Inc.",57,Network and Other Communications Equipment,"3,954,000",2009,,
"Johnson Controls, Inc.",58,Motor Vehicles and Parts,"3,806,200",2009,,
FedEx Corporation,59,"Mail, Package, and Freight Delivery","3,795,300",2009,,
The Walt Disney Company,60,Entertainment,"3,784,300",2009,,
Intel Corporation,61,Semiconductors and Other Electronic Components,"3,758,600",2009,,
Sysco Corporation,62,Wholesalers: Food and Grocery,"3,752,210",2009,,
Honeywell International Inc.,63,Aerospace and Defense,"3,655,600",2009,,
Sprint Nextel Corporation,64,Telecommunications,"3,563,500",2009,,
"Enterprise GP Holdings, L.P.",65,Pipelines,"3,546,960",2009,,
GMAC LLC,66,Commercial Banks,"3,544,500",2009,,
Ingram Micro Inc.,67,Wholesalers: Electronics and Office Equipment,"3,436,220",2009,,
Comcast Corporation,68,Telecommunications,"3,425,600",2009,,
Northrop Grumman Corporation,69,Aerospace and Defense,"3,394,000",2009,,
News Corporation,70,Entertainment,"3,299,600",2009,,
"Apple , Inc.",71,"Computers, Office Equipment","3,247,900",2009,,
CHS Inc.,72,Wholesalers: Food and Grocery,"3,216,750",2009,,
The Coca-Cola Company,73,Beverages,"3,194,400",2009,,
American Express Company,74,Commercial Banks,"3,187,700",2009,,
E.I. du Pont de Nemours and Company,75,Chemicals,"3,183,600",2009,,
New York Life Insurance Company,76,"Insurance: Life, Health (Mutual)","3,141,620",2009,,
Aetna Inc.,77,Health Care: Insurance and Managed Care,"3,095,070",2009,,
"Motorola, Inc.",78,Network and Other Communications Equipment,"3,014,600",2009,,
"Plains All American Pipeline, L.P.",79,Pipelines,"3,006,100",2009,,
Abbott Laboratories,80,Pharmaceuticals,"2,952,760",2009,,
The Allstate Corporation,81,Insurance: Property and Casualty (Stock),"2,939,400",2009,,
Teachers Insurance and Annuity Association College Retiremen,82,"Insurance: Life, Health (Mutual)","2,936,250",2009,,
General Dynamics Corporation,83,Aerospace and Defense,"2,930,200",2009,,
"Prudential Financial, Inc.",84,"Insurance: Life, Health (stock)","2,927,500",2009,,
Humana Inc.,85,Health Care: Insurance and Managed Care,"2,894,640",2009,,
Liberty Mutual Holding Company Inc.,86,Insurance: Property and Casualty (Stock),"2,885,500",2009,,
Deere & Company,87,Construction and Farm Machinery,"2,843,760",2009,,
HCA Inc,88,Health Care: Medical Facilities,"2,837,400",2009,,
"Tyson Foods, Inc.",89,Food Production,"2,813,000",2009,,
"Alcoa, Inc.",90,Metals,"2,811,900",2009,,
Tesoro Corporation,91,Petroleum Refining,"2,803,100",2009,,
Murphy Oil Corporation,92,Petroleum Refining,"2,751,250",2009,,
Philip Morris International Inc.,93,Tobacco,"2,570,500",2009,,
Emerson Electric Co.,94,"Electronics, Electrical Equip.","2,528,100",2009,,
3M Company,95,zMiscellaneous,"2,526,900",2009,,
"Macy's, Inc.",96,General Merchandisers,"2,489,200",2009,,
International Paper Company,97,Forest and Paper Products,"2,482,900",2009,,
Occidental Petroleum Corporation,98,"Mining, Crude-Oil Production","2,448,000",2009,,
"The Travelers Companies, Inc.",99,Insurance: Property and Casualty (Stock),"2,447,700",2009,,
Rite Aid Corporation,100,Food and Drug Stores,"2,441,770",2009,,
"Publix Super Markets, Inc.",101,Food and Drug Stores,"2,410,960",2009,,
Tech Data Corporation,102,Wholesalers: Electronics and Office Equipment,"2,408,050",2009,,
"Merck & Co., Inc.",103,Pharmaceuticals,"2,385,030",2009,,
AMR Corporation,104,Airlines,"2,376,600",2009,,
United States Steel Corporation,105,Metals,"2,375,400",2009,,
Nucor Corporation,106,Metals,"2,366,330",2009,,
McDonald's Corporation,107,Food Services,"2,352,240",2009,,
Raytheon Company,108,Aerospace and Defense,"2,317,400",2009,,
"Staples, Inc.",109,Specialty Retailers,"2,308,380",2009,,
Wyeth,110,Pharmaceuticals,"2,283,390",2009,,
"Delta Air Lines, Inc.",111,Airlines,"2,269,700",2009,,
Fannie Mae,112,Diversified Financials,"2,265,200",2009,,
Oracle Corporation,113,Computer Software,"2,243,000",2009,,
Fluor Corporation,114,"Engineering, Construction","2,232,590",2009,,
"Express Scripts, Inc.",115,Health Care: Pharmacy and Other Services,"2,202,270",2009,,
Coca-Cola Enterprises Inc.,116,Beverages,"2,180,700",2009,,
Google Inc.,117,Internet Services and Retailing,"2,179,560",2009,,
Northwestern Mutual Life Insurance Company,118,"Insurance: Life, Health (Mutual)","2,173,440",2009,,
Manpower Inc.,119,Temporary Help,"2,155,280",2009,,
Bristol-Myers Squibb Company,120,Pharmaceuticals,"2,136,600",2009,,
Delphi Corporation,121,Motor Vehicles and Parts,"2,038,300",2009,,
Eli Lilly and Company,122,Pharmaceuticals,"2,037,800",2009,,
UAL Corporation,123,Airlines,"2,019,400",2009,,
Nationwide Mutual Insurance Co.,124,Insurance: Property and Casualty (Stock),"1,984,800",2009,,
"Constellation Energy Group, Inc.",125,Energy,"1,981,830",2009,,
"The DirecTV Group, Inc.",126,Telecommunications,"1,969,300",2009,,
The Goodyear Tire & Rubber Company,127,Motor Vehicles and Parts,"1,948,800",2009,,
Kimberly-Clark Corporation,128,Household and Personal Products,"1,941,500",2009,,
U.S. Bancorp,129,Commercial Banks,"1,922,900",2009,,
Amazon.Com Inc.,130,Internet Services and Retailing,"1,916,600",2009,,
"The TJX Companies, Inc.",131,Specialty Retailers,"1,914,750",2009,,
CIGNA Corporation,132,Health Care: Insurance and Managed Care,"1,910,100",2009,,
Whirlpool Corporation,133,"Electronics, Electrical Equip.","1,890,700",2009,,
Exelon Corporation,134,Utilities: Gas and Electric,"1,885,900",2009,,
Massachusetts Financial Group,135,"Insurance: Life, Health (Mutual)","1,874,460",2009,,
"Nike, Inc.",136,Apparel,"1,862,700",2009,,
World Fuel Services Corporation,137,Wholesalers: Diversified,"1,850,940",2009,,
Schering-Plough Corporation,138,Pharmaceuticals,"1,850,200",2009,,
"J.C. Penney Company, Inc.",139,General Merchandisers,"1,848,600",2009,,
International Assets Holding Corporation,140,Diversified Financials,"1,835,890",2009,,
Halliburton Company,141,"Oil and Gas Equipment, Services","1,827,900",2009,,
Burlington Northern Santa Fe Corp.,142,Railroads,"1,801,800",2009,,
Union Pacific Corporation,143,Railroads,"1,797,000",2009,,
"Avnet, Inc.",144,Wholesalers: Electronics and Office Equipment,"1,795,270",2009,,
Capital One Financial Corporation,145,Commercial Banks,"1,786,850",2009,,
"Freeport-McMoRan Copper & Gold, Inc.",146,"Mining, Crude-Oil Production","1,779,600",2009,,
Xerox Corporation,147,"Computers, Office Equipment","1,760,800",2009,,
Illinois Tool Works Inc.,148,Industrial Machinery,"1,721,790",2009,,
The Southern Company,149,Utilities: Gas and Electric,"1,712,700",2009,,
"Merrill Lynch & Co., Inc.",150,Securities,"1,678,400",2009,,
"Arrow Electronics, Inc",151,Wholesalers: Electronics and Office Equipment,"1,676,100",2009,,
AFLAC Incorporated,152,"Insurance: Life, Health (stock)","1,655,400",2009,,
Computer Sciences Corporation,153,Information Technology Services,"1,649,950",2009,,
"FPL Group, Inc.",154,Utilities: Gas and Electric,"1,641,000",2009,,
Kohl's Corporation,155,General Merchandisers,"1,638,900",2009,,
The Bank of New York Mellon Corporation,156,Commercial Banks,"1,635,500",2009,,
"Dominion Resources, Inc.",157,Utilities: Gas and Electric,"1,629,000",2009,,
The AES Corporation,158,Energy,"1,617,000",2009,,
"Oneok, Inc.",159,Pipelines,"1,615,740",2009,,
"Altria Group, Inc.",160,Tobacco,"1,595,700",2009,,
"PPG Industries, Inc.",161,Chemicals,"1,584,900",2009,,
Anadarko Petroleum Corp.,162,"Mining, Crude-Oil Production","1,572,300",2009,,
Devon Energy Corporation,163,"Mining, Crude-Oil Production","1,556,000",2009,,
Eaton Corporation,164,Industrial Machinery,"1,537,600",2009,,
"Health Net, Inc.",165,Health Care: Insurance and Managed Care,"1,536,660",2009,,
Colgate-Palmolive Company,166,Household and Personal Products,"1,532,990",2009,,
"Continental Airlines, Inc.",167,Airlines,"1,524,100",2009,,
"Amgen, Inc",168,Pharmaceuticals,"1,500,300",2009,,
TRW Automotive Holdings Corp.,169,Motor Vehicles and Parts,"1,499,500",2009,,
PACCAR Inc,170,Motor Vehicles and Parts,"1,497,250",2009,,
"L-3 Communications Holdings, Inc.",171,Aerospace and Defense,"1,490,100",2009,,
EMC Corporation,172,Computer Peripherals,"1,487,620",2009,,
Textron Inc.,173,Aerospace and Defense,"1,480,600",2009,,
Loews Corporation,174,Insurance: Property and Casualty (Stock),"1,473,300",2009,,
Navistar International Corporation,175,Motor Vehicles and Parts,"1,472,400",2009,,
PG&E Corporation,176,Utilities: Gas and Electric,"1,462,800",2009,,
"Viacom, Inc.",177,Entertainment,"1,462,500",2009,,
"The Gap, Inc.",178,Specialty Retailers,"1,452,600",2009,,
"Office Depot, Inc.",179,Specialty Retailers,"1,449,550",2009,,
"American Electric Power Company, Inc.",180,Energy,"1,444,200",2009,,
Cummins Inc.,181,Construction and Farm Machinery,"1,434,200",2009,,
"Autonation, Inc.",182,"Automotive Retailing, Services","1,428,800",2009,,
"Smithfield Foods, Inc.",183,Food Production,"1,426,410",2009,,
Edison International,184,Utilities: Gas and Electric,"1,411,200",2009,,
"Integrys Energy Group, Inc.",185,Energy,"1,404,780",2009,,
CBS Corporation,186,Entertainment,"1,395,040",2009,,
"Sun Microsystems, Inc.",187,"Computers, Office Equipment","1,388,000",2009,,
"ConAgra Foods, Incorporated",188,Food Consumer Products,"1,380,870",2009,,
"The Pepsi Bottling Group, Inc.",189,Beverages,"1,379,600",2009,,
"Public Service Enterprise Group, Inc.",190,Utilities: Gas and Electric,"1,374,100",2009,,
"Consolidated Edison, Inc.",191,Utilities: Gas and Electric,"1,372,590",2009,,
"Toys "" R "" Us, Inc.",192,Specialty Retailers,"1,372,400",2009,,
"General Mills, Inc.",193,Food Consumer Products,"1,365,210",2009,,
FirstEnergy Corp.,194,Utilities: Gas and Electric,"1,362,700",2009,,
Lear Corporation,195,Motor Vehicles and Parts,"1,357,050",2009,,
